timestamp_utc,open,high,low,close,volume
1773028800,24074.697,24100.131,24059.642,24096.566,0.0
1773029100,24096.761,24124.149,24096.761,24113.522,0.0
1773029400,24113.425,24120.436,24102.142,24114.458,0.0
1773029700,24114.142,24116.219,24088.75,24091.642,0.0
1773030000,24091.555,24173.649,24087.164,24171.436,0.0
1773030300,24171.599,24177.761,24156.903,24176.697,0.0
1773030600,24176.436,24193.294,24159.936,24180.783,0.0
1773030900,24179.772,24181.349,24136.425,24143.283,0.0
1773031200,24143.055,24194.838,24139.0,24182.425,0.0
1773031500,24182.664,24208.914,24167.533,24206.399,0.0
1773031800,24206.381,24222.779,24191.708,24193.903,0.0
1773032100,24193.653,24231.599,24192.555,24231.511,0.0
1773032400,24229.447,24232.87,24204.5,24222.349,0.0
1773032700,24222.566,24249.649,24218.838,24249.649,0.0
1773033000,24249.219,24276.099,24241.533,24262.779,0.0
1773033300,24262.469,24275.12,24250.599,24260.414,0.0
1773033600,24260.75,24280.044,24245.958,24277.436,0.0
1773033900,24278.0,24289.529,24266.305,24268.197,0.0
1773034200,24267.969,24280.577,24254.697,24267.447,0.0
1773034500,24267.305,24267.305,24237.664,24238.708,0.0
1773034800,24238.849,24242.649,24228.403,24238.903,0.0
1773035100,24239.392,24239.392,24210.403,24215.029,0.0
1773035400,24214.555,24235.675,24200.142,24227.327,0.0
1773035700,24227.425,24243.029,24215.686,24218.522,0.0
1773036000,24218.414,24235.925,24199.399,24200.577,0.0
1773036300,24200.099,24243.981,24184.055,24227.436,0.0
1773036600,24227.75,24250.555,24218.249,24240.653,0.0
1773036900,24239.783,24261.892,24218.936,24235.533,0.0
1773037200,24236.219,24282.779,24235.261,24273.458,0.0
1773037500,24273.588,24287.153,24263.566,24271.849,0.0
1773037800,24272.319,24277.529,24237.555,24246.294,0.0
1773038100,24247.719,24274.399,24233.066,24258.761,0.0
1773038400,24259.197,24270.649,24252.708,24257.055,0.0
1773038700,24256.816,24263.708,24232.37,24251.392,0.0
1773039000,24251.631,24260.642,24233.381,24245.936,0.0
1773039300,24246.055,24268.555,24237.936,24250.142,0.0
1773039600,24250.392,24283.533,24223.316,24223.511,0.0
1773039900,24223.642,24270.022,24221.566,24268.208,0.0
1773040200,24265.327,24270.544,24224.969,24233.447,0.0
1773040500,24233.529,24245.544,24207.022,24227.022,0.0
1773040800,24228.077,24284.783,24219.577,24277.838,0.0
1773041100,24277.12,24288.631,24247.414,24251.153,0.0
1773041400,24250.044,24305.305,24249.175,24301.849,0.0
1773041700,24302.327,24310.533,24283.75,24289.055,0.0
1773042000,24288.186,24292.316,24252.708,24257.936,0.0
1773042300,24257.686,24287.947,24241.87,24275.903,0.0
1773042600,24275.425,24300.261,24271.294,24293.077,0.0
1773042900,24292.947,24298.0,24273.011,24286.349,0.0
1773043200,24286.577,24306.969,24271.529,24272.719,0.0
1773043500,24273.186,24293.899,24257.881,24287.381,0.0
1773043800,24287.164,24323.649,24265.599,24320.055,0.0
1773044100,24319.761,24362.283,24316.088,24355.164,0.0
1773044400,24355.414,24400.149,24353.492,24377.5,0.0
1773044700,24376.925,24395.399,24372.099,24383.436,0.0
1773045000,24382.849,24468.392,24354.003,24447.742,0.0
1773045300,24448.816,24468.029,24416.642,24439.436,0.0
1773045600,24438.25,24451.649,24420.719,24436.349,0.0
1773045900,24436.649,24456.719,24399.75,24414.327,0.0
1773046200,24413.761,24414.149,24366.772,24378.599,0.0
1773046500,24378.261,24403.903,24377.511,24394.099,0.0
1773046800,24394.12,24407.686,24349.981,24375.794,0.0
1773047100,24375.349,24388.533,24343.631,24367.566,0.0
1773047400,24365.0,24375.279,24342.783,24355.0,0.0
1773047700,24355.149,24389.399,24354.5,24367.066,0.0
1773048000,24366.425,24387.697,24355.903,24364.066,0.0
1773048300,24363.827,24384.25,24350.458,24352.458,0.0
1773048600,24352.899,24358.029,24332.566,24354.522,0.0
1773048900,24354.772,24390.349,24341.142,24368.914,0.0
1773049200,24368.664,24384.816,24349.675,24364.555,0.0
1773049500,24364.011,24374.899,24338.044,24344.316,0.0
1773049800,24343.425,24361.149,24321.033,24355.231,0.0
